Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Al4Se6,0,-0.833,10,581.752,-44.175,0,0.007,808.565,1.529,1.524
Co2Se3,0,-0.255,5,354.779,-28.18,0,0.009,350.801,0.257,0.255
Ga4Se6,0,-0.523,10,752.718,-37.736,0,0.007,733.692,0.529,0.405
Rh4S6,0,-0.45,10,603.982,-57.557,0,0.007,425.002,0.553,0.44
Tl8Cl12,0,-0.864,20,2060.44,-58.691,0,0.009,2311.767,1.915,1.915
Hg10F4,0,-0.699,14,2081.914,-24.991,0.001,0.009,1149.01,1.178,1.172
Ag6I6,0,-0.243,12,1408.636,-28.824,0,0.004,1028.225,1.755,1.504
Au4Br4,0,-0.075,8,1107.482,-19.456,0,0.007,660.351,1.539,1.482
Li4Br4,0,-1.542,8,347.376,-26.236,0,0.009,510.743,4.978,4.929
Li2Cl2,0,-1.806,4,84.78,-14.574,0,0.008,220.977,5.899,5.896
FeCl2,2.284,-0.742,3,126.745,-14.836,0,0.003,191.025,0,0
K6F6,0,-2.767,12,348.58,-50.042,0.002,0.008,569.852,5.201,5.179
Sn4O4,0,-1.258,8,538.836,-46.79,0,0.009,455.962,1.983,1.938
Cd4Cl8,0,-1.079,12,733.256,-30.942,0,0.009,878.635,3.363,3.359
Tl4O2,0,-0.586,6,849.518,-23.755,0,0.007,401.258,0.977,0.819
PdS2,0,-0.234,3,170.54,-12.679,0,0.008,248.409,1.092,1.095
Tl4S2,0,-0.317,6,881.64,-20.053,0,0.003,548.907,1.35,1.169
Se8Si4,0,-0.387,12,744.108,-54.099,0,0.008,961.728,1.026,1.023
Sr2Cl4,0,-2.435,6,317.04,-25.101,0,0.007,589.88,5.484,5.478
Zr2S4,0,-1.52,6,310.688,-40.236,0,0.005,425.223,0.704,0.702
Hf2I4Se4,0,-0.87,10,1180.482,-43.559,0,0.007,912.684,1.547,1.386
Sc2Br2Te,2.822,-1.375,5,377.32,-22.57,0,0.003,302.696,0,0
Y2Cl4S4,0,-1.568,10,447.852,-48.518,0,0.008,868.818,1.586,1.586
Mn4Cl12,0,-0.88,16,645.152,-74.365,0,0.01,941.982,0.498,0.497
Pd2F6,0,-1.326,8,326.83,-27.77,0.003,0.01,462.216,0.452,0.425
Al2Cl2Se2,0,-1.164,6,282.805,-24.994,0,0.005,487.832,3.737,3.662
Rb2Zn2As2,0,-0.387,6,451.539,-15.837,0,0.007,395.031,0,0.116
Be2K2P2,0.407,-0.39,6,158.168,-22.914,0,0.01,302.018,0,0.023
Hg2Br2I2,0,-0.438,6,814.801,-10.526,0,0.009,648.227,1.66,1.469
Y2Br2S2,0,-2.087,6,401.74,-33.231,0,0.006,463.449,2.994,2.969
Pb4Cl4I4,0,-0.883,12,1478.218,-38.688,0,0.008,1172.779,3.04,2.101
Y4Cl4Te4,0,-1.776,12,1007.823,-60.034,0,0.002,1151.375,0.541,0.388
Cu2Li2Se2,0,-0.625,6,298.914,-21.849,0.001,0.002,275.691,1.135,1.127
Y2F2S2,0,-3.024,6,279.928,-38.858,0.001,0.008,395.686,2.697,2.693
Y2I2Se2,0,-1.686,6,589.563,-29.419,0,0.003,574.295,3.037,2.724
Li2Tl2Te2,0,-0.625,6,677.84,-18.935,0,0.008,424.451,1.165,1.041
Au2Cl2Se4,0,-0.113,8,780.717,-24.664,0,0.01,759.978,0.909,0.883
Ag2Cd2Br6,0,-0.682,10,919.988,-23.859,0,0.004,826.549,2.318,2.24
Au2Cd2I6,0,-0.367,10,1380.188,-20.655,0,0.01,939.209,1.627,1.421
Cd2Li2I6,0,-0.811,10,1000.135,-22.613,0,0.009,934.577,2.808,2.482
Cu2Ni2Br6,0,-0.359,10,723.903,-34.943,0,0.009,672.491,0.526,0.478
Nb3Br8,0,-0.978,11,917.951,-54.419,0,0.005,1494.98,0.302,0.293
As4O12S2,0,-1.232,18,555.794,-110.478,0,0.005,1939.406,4.476,4.456
Bi4B4O12,0,-1.861,20,1071.15,-144.235,0,0.01,1432.775,3.702,2.865
Cu4O12Te2,0,-0.581,18,701.372,-93.071,0,0.007,1630.407,0.467,0.449
Ga2Y2I2,1.957,-1.07,6,571.067,-24.568,0,0.007,585.273,0,0
Mg2P2S6,0,-0.773,10,302.918,-46.164,0,0.005,1077.399,2.797,2.796
Mo2Br4O4,0,-1.384,10,575.512,-63.082,0,0.006,1075.846,1.484,1.424
Nb2Cl4Se4,0,-0.97,10,643.497,-51.422,0,0.01,1267.612,1.078,1.08
Nb4Ge2Te8,0,-0.5,14,1537.685,-82.982,0,0.009,1757.823,0.423,0.416
Pd3P2S8,0,-0.348,13,637.688,-59.336,0,0.003,1703.978,1.852,1.75
AgScP2Se6,0,-0.534,10,688.598,-44.469,0,0.009,1235.544,1.691,1.634
Ca2Cl4H8O4,0,-1.534,18,294.016,-85.86,0,0.006,1582.467,5.721,5.714
Na2PtH6O6,0,-1.142,15,343.106,-76.794,0,0.005,990.644,3.029,2.835
Sn2H2O6P2,0,-1.532,12,397.378,-74.615,0,0.01,1072.43,4.367,4.3
Sn2C2H6O6P2,0,-1.145,18,425.432,-108.58,0,0.008,1156.901,4.06,4.034
Ge2Te2,0,-0.004,4,400.46,-15.455,0,0.009,432.379,1.103,1.065
Y2C2I2,1.303,-0.904,6,455.643,-36.205,0,0.004,527.393,0,0
Zr2Br2Cl2,0,-1.499,6,413.156,-30.538,0,0.008,424.877,0.603,0.593
Y3F2N2,1.904,-2.614,7,332.728,-52.252,0,0,237.689,0,0
Tl2Cl2,0,-0.965,4,479.66,-12.427,0,0,474.751,4.001,3.629
Pd2F2,0,-0.91,4,250.837,-14.452,0,0,177.441,0.904,0.865
Zn2I2,0,-0.372,4,384.569,-6.813,0,0,287.032,2.151,2.091
In2Se2,0,-0.538,4,387.578,-14.642,0,0,292.792,1.431,1.404
Ni2Te2,2.851,-0.14,4,372.587,-21.463,0,0,240.245,0,0
Pb2S2,0,-0.514,4,478.52,-17.73,0,0,307.879,1.673,1.162
CaCl2,0,-2.421,3,110.978,-12.846,0,0,263.973,5.789,5.784
CoCl2,0,-0.603,3,129.833,-13.606,0,0,191.144,0.348,0.351
MoS2,0,-0.921,3,160.07,-22.121,0,0,159.156,1.648,1.58
NiO2,0,-0.709,3,90.691,-19.622,0,0,118.006,1.282,1.281
PbBr2,0,-0.965,3,367.008,-9.823,0,0,319.586,2.714,2.004
SnSe2,0,-0.291,3,276.652,-11.896,0,0,291.578,0.859,0.86
VTe2,0,-0.307,3,306.141,-15.854,0,0,207.478,0.237,0.212
W2Se4,0,-0.503,6,683.564,-39.918,0,0,362.703,0,0.032
YCl2,0,-2.048,3,159.806,-14.407,0,0,221.204,0.374,0.374
ZnCl2,0,-1.107,3,136.28,-8.075,0,0,198.927,4.475,4.453
NiH2O2,0,-0.844,5,22.042,-28.364,0,0,164.726,1.086,1.078
Sb2Se2Te,0,-0.191,5,529.062,-19.938,0,0,330.24,0.741,0.573
Cu2ReCl6,0,-0.554,9,525.999,-34.707,0,0,635.206,0.512,0.467
Ir2Cl6,0,-0.55,8,597.134,-33.658,0,0,572.219,1.981,1.823
Os2Cl6,0,-0.318,8,593.16,-35.638,0,0,560.806,0,0.063
Ru2I6,2.118,-0.074,8,963.567,-28.387,0,0,769.111,0,0
Ti2Cl6,0.281,-1.564,8,308.434,-36.604,0,0,607.782,0,0.121
Y2Br6,0,-1.963,8,657.236,-34.597,0,0,828.383,4.218,4.087
CrMo3S8,0,-0.848,12,596.326,-85.811,0,0,625.788,1.251,1.184
MoW3S8,0,-0.888,12,903.95,-88.937,0,0,638.21,1.754,1.532
Al2I2Se2,0,-0.725,6,465.714,-21.748,0,0,421.985,1.515,1.493
BiBrS,0,-0.557,3,320.944,-12.009,0,0,284.888,1.76,0.891
ZrBrCl,0,-1.512,3,206.578,-15.31,0,0,192.122,0.95,0.912
Hf2Br2S2,2.142,-1.497,6,580.908,-35.319,0,0,395.297,0,0
Zr2Br2Se2,2.565,-1.426,6,500.198,-33.497,0,0,425.029,0,0
Ir2Cl2S2,0,-0.5,6,519.454,-33.279,0,0,351.457,0.227,0.355
Ni2Cl2Se2,3.135,-0.46,6,346.229,-27.789,0,0,344.885,0,0
Sc2Cl2S2,0,-2.053,6,224.932,-33.361,0,0,401.951,2.116,2.109
Ti2Cl2Se2,3.313,-1.361,6,324.576,-32.082,0,0,380.282,0,0
Cr2I2S2,0,-0.619,6,421.921,-33.645,0,0,373.632,0.376,0.331
HfSSe,0,-1.471,3,289.521,-19.479,0,0,232.617,0.847,0.684
TaSSe,1.606,-0.937,3,291.979,-20.189,0,0,200.133,0,0
VSTe,1.445,-0.594,3,210.601,-17.59,0,0,203.755,0,0
Ag2Br2S4,0,-0.147,8,503.784,-26.341,0,0,711.02,1.189,1.167
Ge2P2S6,0,-0.241,10,399.568,-46.636,0,0,647.593,1.407,1.406
Sc2P2Se6,0,-0.833,10,625.685,-49.276,0,0,712.636,0.708,0.684
MnZrI6,0,-0.756,8,907.589,-32.04,0,0,832.722,1.219,1.052
Br2Ge2,0,-0.396,4,305.068,-13.784,0,0.003,318.603,0,0.169
Rh4Te2,5.272,-0.218,6,666.822,-36.309,0,0.007,320.917,0,0
Y2Cl2S,1.669,-2.101,5,280.772,-27.535,0,0.008,280.757,0,0
MoSe2,0,-0.708,3,253.892,-20.291,0,0,175.023,1.433,1.321
ZnBrCl,0,-0.967,3,180.734,-7.455,0,0.008,211.819,3.598,3.418
Nb4BrCl3O4,0.943,-1.901,12,621.875,-91.552,0,0.009,542.127,0,0
HfZr3S4Te4,1.659,-1.235,12,1090.802,-73.661,0,0.004,917.127,0,0.019
Pd3TiSe8,0,-0.462,12,998.895,-51.553,0,0.009,834.722,0.358,0.239
As2I2Te2,0,-0.057,6,658.852,-19.037,0,0.008,595.134,0.376,0.184
ScClTe,0,-1.568,3,208.006,-14.353,0,0.008,243.286,1.01,0.809
PtSSe,0,-0.392,3,306.115,-15.092,0,0.004,203.519,1.481,1.33
Nb2Br2Cl4,0,-1.168,8,487.421,-40.304,0,0.01,601.342,0.186,0.194
Sc2Br4Cl2,0,-1.908,8,480.428,-34.493,0,0.008,706.769,3.212,3.067
BrClGe2Se2,0,-0.434,6,418.556,-21.968,0,0.008,615.252,1.736,1.719
HfBr2GeS2,0,-1.037,6,475.048,-29.568,0,0.01,407.845,0.8,0.728
IrPdBr2S2,2.385,-0.332,6,522.565,-26.414,0,0.009,358.39,0,0
Ti2Br2NO,2.352,-1.817,6,285.548,-40.928,0.001,0.009,275.507,0,0
Ti7Br3C2ClO6Se,6.678,-1.951,20,809.218,-145.054,0,0.01,907.86,0,0
Hf2Br4ClI,0,-1.289,8,838.95,-34.928,0,0.01,709.841,0.398,0.387
Os2Cl4SSe,0,-0.291,8,633.291,-39.414,0,0.008,601.79,0.353,0.156
Hf3TiBr4S3Se,5.015,-1.432,12,1078.104,-68.453,0,0.008,765.973,0,0
PtSnS4,0,-0.422,6,442.034,-29.254,0,0.009,407.494,1.24,1.302
FeMnSeTe,2.615,-0.171,4,317.354,-26.13,0,0.008,240.552,0,0
Sc2BrIS,1.169,-1.652,5,328.78,-24.72,0,0.009,272.254,0,0
PdPt3Cl6SSe,0,-0.373,12,1015.403,-45.632,0,0.008,961.973,0.669,0.53
IrNiI2SSe,3.815,-0.209,6,615.75,-28.297,0,0.01,367.995,0,0
Mn2Sr3Br2O5,2.537,-2.244,12,612.539,-80.179,0,0.003,633.78,0,0
Ga2Ni2Se5,5.669,-0.415,9,651.688,-41.453,0,0.001,526.471,0,0
Ga4S6,0,-0.619,10,471.252,-42.274,0,0.009,823.141,1.785,1.783
Nb2Pd4Te6,2.898,-0.457,12,1377.093,-60.642,0,0.007,1467.348,0,0
Cu2I2P4Se3,0,-0.088,11,741.709,-43.184,0,0.008,1596.084,0.968,0.879
Al2Mn2Se5,1.347,-0.568,9,558.694,-49.436,0,0.005,576.77,0,0
CrGa2Te4,2.775,-0.279,7,701.842,-29.985,0,0.01,601.49,0,0
Al2Te2,0,-0.373,4,309.163,-15.378,0,0,307.687,2.065,1.955
In2Ni2Se5,4.407,-0.357,9,741.878,-40.647,0,0.003,555.01,0,0
In8Te12,0,-0.313,20,2449.744,-66.821,0,0.009,3527.129,1.073,0.964
P4S6,0,-0.067,10,316.255,-46.6,0,0.005,1202.445,1.794,1.793
V4C3H2,4.74,-0.326,9,241.815,-71.34,0.001,0.006,180.614,0,0
Ni6Ta4S10,0.123,-0.741,20,1396.552,-138.354,0,0.008,1991.987,0,0.058
Au2O2,0,-0.01,4,425.931,-16.547,0,0,322.65,0.166,0.174
Nb3Pt3Se14,5.063,-0.586,20,1969.565,-110.525,0,0.008,2502.993,0,0
Ag2Cl2,0,-0.439,4,286.636,-11.004,0,0.007,720.564,2.535,2.521
As2Te2,0,0.047,4,405.043,-15.55,0,0.004,443.616,0.979,0.934
Au2I2,0,-0.098,4,647.742,-9.61,0,0.008,779.082,1.871,1.808
Pd2Br2,0.474,-0.247,4,372.648,-11.798,0,0.004,244.325,0,0
Cl2Si2,0,-0.681,4,127.07,-17.092,0,0.007,244.644,1.276,1.253
Zr2S2Si2,1.243,-1.193,6,302.738,-40.917,0,0,444.942,0,0
In2Te2,1.324,-0.257,4,484.836,-12.965,0,0.007,612.697,0,0
Pb2Cl4,0,-1.132,6,556.2,-21.452,0,0.009,1331.424,3.394,2.776
Si4Te8,0,-0.05,12,1133.14,-47.837,0,0.009,2057.331,1.489,1.293
Pd2AsTe2,3.176,-0.275,5,542.962,-20.087,0,0.002,477.771,0,0
Hf2BF2,1.08,-2.155,5,405.787,-35.663,0.002,0.004,194.264,0,0
Co3SiTe2,3.556,-0.267,6,460.085,-38.096,0,0.009,261.913,0,0
Ti2CH2,0.722,-0.586,5,109.761,-32.176,0.001,0.009,157.564,0,0
V2CTe2,1.641,-0.35,5,369.094,-34.428,0,0.008,178.29,0,0
Ni4Ta2Se6,3.63,-0.572,12,1070.495,-76.383,0,0.009,1266.896,0,0
Y2Cl2N,1.3,-2.026,5,262.719,-31.435,0.001,0.005,225.58,0,0
Zr2PS2,1.706,-1.501,5,277.542,-35.832,0,0.001,431.386,0,0
As8S4Se8,0,-0.089,20,1359.381,-83.266,0,0.007,3778.182,1.425,1.395
Ni4Ta2Se4,7.293,-0.549,10,912.553,-68.042,0,0.01,794.674,0,0
TiCl2,0,-1.537,3,118.767,-14.871,0,0,169.206,0.922,0.903
Ni3GeTe2,3.49,-0.266,6,503.91,-34.265,0,0.006,274.907,0,0
Sr2Br4H8O4,0,-1.444,18,566.916,-82.768,0,0.007,1866.79,4.894,4.809
In2Pt4Se6,0,-0.421,12,1483.798,-56.892,0,0.003,1681.098,1.195,1.126
KMo2I6O2,6.882,-0.912,11,1024.423,-52.78,0,0.002,1570.427,0,0
Cd2Pt4Te6,0,-0.323,12,1770.764,-50.371,0,0.002,1296.656,0,0.114
CoGa2Te4,2.803,-0.249,7,708.779,-28.597,0,0.008,560.166,0,0
CdIn2S4,0,-0.582,7,470.29,-26.837,0,0.004,546.568,0.6,0.597
Al2CoS4,1.083,-0.808,7,241.136,-37.67,0,0.009,430.428,0,0
Ta4Ge2Se8,0,-0.697,14,1500.82,-85.912,0,0.006,1627.351,0.184,0.176
Al2MgTe4,0,-0.543,7,588.668,-25.71,0,0.009,614.696,0.73,0.439
Bi2MnS4,0,-0.381,7,601.139,-38.047,0,0.004,551.474,0.818,0.277
MnS4Sb2,0,-0.302,7,426.698,-36.958,0,0.004,527.186,0.452,0.383
Ga2NiS4,3.516,-0.534,7,326.379,-33.101,0,0.01,444.447,0,0
Ta4Se8Si2,0,-0.745,14,1411.73,-88.36,0,0.009,1574.189,0.388,0.38
Nb3Br7O,0,-1.154,11,854.046,-59.891,0,0.004,1445.344,0.777,0.769
Ga2VTe4,0.732,-0.322,7,700.788,-29.401,0,0.003,609.405,0,0
Fe2Ta4S10,3.179,-0.938,16,1156.082,-113.135,0,0.009,1742.191,0,0
Ta4Br2S12,0,-0.726,18,1268.32,-104.44,0,0.008,2381.059,0.56,0.538
Ca2Sn4Cl12,0,-1.44,18,980.396,-67.585,0,0.009,1993.738,3.589,3.519
In2Br2,0,-0.645,4,389.444,-11.276,0,0.006,501.088,3.011,2.949
HfW2O8,0,-2.575,11,674.162,-99.791,0,0.007,1126.089,3.802,3.635
Nb3F7Se,0,-2.683,11,490.679,-75.079,0.001,0.005,1114.389,0.899,0.893
Cu2F6,0,-1.448,8,241.082,-28.458,0.003,0.003,396.223,0.909,0.907
Nb4Se12,2.45,-0.703,16,1319.277,-94.35,0,0.009,1583.422,0,0
Sn2Te6,0,-0.043,8,1003.02,-27.687,0,0.009,622.831,0.265,0.148
Re6F2Se8,0,-0.727,16,1787.007,-112.619,0,0.008,1702.187,1.349,1.266
Hf2F2S2,2.171,-2.403,6,459.097,-40.76,0.001,0.002,370.174,0,0
Os2F8,0,-1.721,10,532.447,-52.289,0.002,0.009,906.777,0.697,0.687
Ag4Br4Se4,0,-0.168,12,1066.973,-33.65,0,0.007,1806.097,0.792,0.781
K2I2,0,-1.456,4,332.006,-11.221,0,0.008,462.865,4.066,3.709
Al4Cl4Se4,0,-1.173,12,565.61,-50.101,0,0.005,1706.547,4.1,4.066
Al2I2S2,0,-0.88,6,371.892,-23.867,0,0.006,719.539,1.572,1.481
As4Se4Si4,0,-0.266,12,727.91,-57.375,0,0.009,1662.642,2.159,2.109
Au4Cl4Te4,0,-0.319,12,1440.066,-36.311,0,0.006,1944.522,1.39,1.36
Ba2Cl2I2,0,-2.19,6,599.363,-23.322,0,0.003,855.169,3.954,3.69
Sc2Br2H2,0.455,-1.216,6,251.736,-26.433,0,0.004,400.211,0,0
In2Ge2Se2,0,-0.359,6,532.838,-23.675,0,0.002,551.16,0.646,0.553
Ca2Cl2H2,0,-1.535,6,153.072,-23.453,0,0.004,478.51,3.924,3.924
Zr2Ge2Te2,1.485,-0.794,6,582.908,-35.01,0,0.01,521.57,0,0
Ga4Cl4Se4,0,-0.869,12,736.576,-43.113,0,0.008,1740.693,3.086,3.011
Ni2Cl2Te2,3.427,-0.428,6,443.487,-27.043,0,0.009,404.898,0,0
Zr2F2S2,1.525,-2.503,6,284.565,-41.151,0.001,0.004,378.851,0,0
Zr2F2Se2,1.922,-2.338,6,378.387,-38.975,0.001,0.006,401.018,0,0
Fe2K2P2,1.522,-0.428,6,251.834,-33.822,0,0.008,275.227,0,0
Ga4I4Se4,0,-0.574,12,1102.394,-38.348,0,0.009,1808.797,2.16,1.932
In4I4S4,0,-0.561,12,1095.13,-40.016,0,0.01,1907.635,2.103,1.875
Y2I2S2,0,-1.845,6,495.741,-31.567,0,0.007,631.052,2.66,2.543
Na4As4O8,0,-1.535,16,519.637,-89.443,0,0.006,1210.443,4.374,4.36
Ag4Te2,0,-0.068,6,686.673,-18.178,0,0.005,605.188,0.899,0.786
Cu2Cl2O4,0,-0.296,8,261.988,-33.79,0,0.006,542.341,0.493,0.452
Pd2Cl2Te4,2.204,-0.387,8,794.14,-27.122,0,0.01,462.827,0,0
Pd2H2Se4,1.209,-0.213,8,530.74,-29.928,0,0.005,415.015,0,0
Li4P4S8,0,-0.615,16,408.135,-71.476,0,0.009,1017.145,1.523,1.52
OsI2O,1.531,-0.33,4,460.038,-20.593,0,0,507.102,0,0
Ba4Mn2I2S6,3.557,-1.539,14,1105.353,-75.72,0,0.004,937.341,0,0
AgCrP2Se6,0,-0.256,10,695.638,-46.439,0,0.01,1181.053,0.925,0.895
AgAs2S6Sb,0,-0.061,10,571.831,-41.655,0,0.008,1258.316,1.118,1.11
AlNaAs2Se6,0,-0.389,10,673.64,-39.156,0,0.005,1445.572,1.142,1.046
AuCrAs2Te6,8.279,-0.033,10,1164.406,-41.421,0,0.008,1481.889,0,0
CoNaP2S6,0,-0.412,10,336.23,-48.853,0,0.007,1034.551,0.677,0.616
CrCuP2Se6,0,-0.244,10,651.316,-47.15,0,0.003,1148.828,0.828,0.811
Zr2Se4,0,-1.287,6,498.332,-36.461,0,0.008,464.687,0.256,0.251
H2O12P2Sb4,0,-1.631,20,742.992,-129.118,0,0.01,1871.166,4.319,4.217
InLiP2S6,0,-0.539,10,376.066,-45.237,0,0.007,1265.395,2.297,2.293
Cr2S6Si2,0,-0.633,10,352.522,-60.413,0,0.008,1024.001,1.022,1.022
Ag2Ge2S6,4.386,-0.188,10,553.356,-41.057,0,0.001,1609.984,0,0
Al2Ge2Te6,0,-0.25,10,964.823,-38.239,0,0.003,1428.278,1.171,0.943
Mg2Br2I2,0,-1.245,6,462.227,-16.833,0,0.004,610.446,3.233,3.152
B4O12Sb4,0,-1.877,20,722.268,-143.469,0,0.006,1523.019,3.884,3.856
Cr2Ge2S6,0,-0.491,10,441.612,-57.23,0,0.01,1061.582,0.776,0.775
Mn2Nb2Te6,4.754,-0.288,10,1061.289,-62.194,0,0.009,1241.865,0,0
In2Ge2S6,0,-0.445,10,567.256,-43.472,0,0.007,1178.509,1.642,1.641
Cu2Hg2Br2S2,0,-0.304,8,752.204,-22.877,0,0.006,1119.056,0.785,0.775
Ni2Ta2Te6,6.643,-0.341,10,1244.883,-56.771,0,0.009,1291.348,0,0
Rh2Sb2Te6,0,-0.259,10,1214.931,-44.926,0,0.004,814.288,0.185,0.249
Pd2O6S2,0,-0.841,10,372.954,-54.947,0,0.009,834.703,0.712,0.681
Na6H2O8Te2,0,-1.487,18,523.147,-88.664,0,0.009,1578.596,3.956,3.936
AlKI4O12,0,-0.683,18,765.686,-84.661,0,0.008,1406.112,3.168,3.107
GaNaI4O12,0,-0.522,18,792.319,-81.02,0,0.006,1300.613,2.762,2.731
Mo2As2O10,3.314,-1.544,14,501.733,-104.59,0,0.01,1365.699,0,0
Ni2Ta2S10,2.456,-0.58,14,799.883,-83.029,0,0.002,1509.193,0,0
Ta2V2Te10,0.987,-0.3,14,1739.779,-72.927,0,0.008,1570.926,0.081,0.003
FeHfH6,0,-0.139,8,240.383,-37.605,0,0.009,295.257,1.786,1.741
K2Nb2F12,0,-3.326,16,491.99,-95.354,0.002,0.009,1117.765,5.511,5.488
Na2Nb2Br12,0,-1.092,16,1190.64,-59.749,0,0.009,2040.058,1.579,1.485
PdZrI6,0,-0.625,8,959.071,-25.095,0,0.006,823.379,0.433,0.366
Ag2Cd2I2Te2,0,-0.344,8,949.573,-19.656,0,0.006,1456.249,1.306,1.193
Au2Hg2Cl2Te2,0,-0.265,8,1121.217,-20.131,0,0.009,1342.804,0.481,0.494
Cu2Hg2I2S2,0,-0.221,8,846.205,-22.008,0,0.007,1154.482,0.839,0.774
Ba4As4Cl4S8,0,-1.268,20,1247.274,-91.081,0,0.01,1823.849,2.093,2.068
Mg4Se4,0,-1.181,8,413.104,-29.849,0,0.01,602.13,3.12,3.089
Bi2Hg2Br2O4,0,-0.849,10,1042.949,-43.276,0,0.006,1213.95,2.457,2.395
Mn2Br2S4Sb2,0,-0.419,10,641.444,-51.913,0,0.005,1475.463,0.383,0.37
Ge2H2,0,0.082,4,147.276,-15.351,0,0,253.673,1.018,0.92
Bi2In2,0,0.092,4,647.597,-14.505,0,0.001,746.201,0,0.037
Sn2C2H6P2S6,0,-0.308,18,521.798,-87.231,0,0.008,1603.07,2.541,2.463
FeI2,2.346,-0.12,3,309.654,-12.358,0,0.009,251.341,0,0
Ga2H2O8Te2,0,-1.327,14,524.654,-78.443,0,0.007,985.712,3.902,3.859
K2Ru2Cl10N2O2,0,-0.864,18,694.849,-81.724,0,0.009,1700.43,0.374,0.372
Os2Rb2F10N2O2,0,-1.966,18,801.392,-102.405,0.002,0.008,1169.964,0.94,0.895
Al6Se9,0,-0.774,15,872.628,-65.38,0,0.009,1392.721,2.504,2.475
Co2Te3,2.926,-0.157,5,500.666,-26.858,0,0.006,256.166,0,0
Ga4Te6,0,-0.267,10,1044.492,-33.513,0,0.01,677.761,0.19,0.141
Cu6S4,3.42,-0.207,10,509.516,-40.443,0.001,0.008,488.12,0,0
Tl2S3,0,-0.145,5,504.94,-17.955,0,0.008,384.594,0.806,0.73
Ge6P8,0,0.065,14,683.57,-69.103,0,0.007,979.294,1.044,1.003
Ag3Cl3,0,-0.439,6,429.955,-16.506,0,0.007,472.593,1.961,1.937
Li6Br6,0,-1.514,12,521.064,-39.012,0,0.006,865.369,4.904,4.842
Li3Cl3,0,-1.81,6,127.17,-21.883,0,0.007,257.467,5.823,5.819
Tl6Cl6,0,-0.964,12,1438.98,-37.26,0,0.009,1281.671,3.457,3.139
MoO2,0,-1.979,3,127.948,-27.388,0,0,120.22,0.916,0.912
Sn6O6,0,-1.268,12,808.254,-70.297,0,0.009,809.755,1.962,1.952
Ba2Br4,0,-2.191,6,594.27,-23.142,0,0.008,740.285,4.763,4.678
Tl2O,0,-0.557,3,424.759,-11.79,0,0.002,194.543,1.155,0.995
Pd2Se4,0,-0.247,6,528.724,-23.053,0,0.009,516.437,0.799,0.635
Si2Te4,0,0.005,6,566.57,-23.587,0,0.008,532.257,0.66,0.516
Hf2I4Te4,0,-0.677,10,1374.998,-40.519,0,0.006,987.8,1.138,0.947
Sc2I2Te,2.811,-1.167,5,471.321,-21.315,0,0.004,329.166,0,0
Au2Br6,0,-0.138,8,873.357,-16.872,0,0.008,964.342,0.714,0.693
Rh2F6,0,-1.65,8,319.801,-37.012,0.003,0.009,395.831,1.13,1.13
Y2Br6,0,-1.907,8,657.236,-34.149,0.001,0.009,691.603,2.964,2.911
MnI4,0,-0.236,5,562.556,-16.809,0,0.007,643.392,0.885,0.803
Al4Cl4Se4,0,-1.165,12,565.61,-50.005,0,0.009,881.839,3.956,3.905
Re2As2Se2,0,-0.142,6,680.199,-40.46,0,0.006,334.926,0.942,0.756
Be2Na2N2,0.422,-0.532,6,92.018,-29.915,0.001,0.008,183.115,0,0.005
Pb2Br2Cl2,0,-1.036,6,645.108,-20.474,0,0.008,626.245,2.989,2.203
Co2F2I2,0,-0.922,6,409.672,-28.118,0.001,0.007,432.972,0.381,0.339
Y2F2Se2,0,-2.9,6,373.75,-36.92,0.002,0.007,283.606,1.54,1.402
Mn2S2Se2,2.282,-0.52,6,331.938,-37.677,0,0.003,359.405,0,0
Ag2Cd2Cl6,0,-0.852,10,653.264,-26.769,0,0.005,746.499,2.694,2.611
Ag2Ni2I6,0,-0.149,10,1094.55,-30.537,0,0.007,831.467,0.51,0.263
Cu2Ni2Cl6,0,-0.563,10,457.179,-38.191,0,0.009,595.838,0.658,0.614
Hg2Li2Br6,0,-0.879,10,894.488,-23.852,0,0.007,813.33,2.274,2.19
Mg2Tl2I6,0,-0.849,10,1218.797,-25.589,0,0.004,1107.547,3.327,2.652
In2I2,0,-0.403,4,483.445,-10.094,0,0,327.801,1.057,0.988
Ir5Te10,2.065,-0.256,15,2237.085,-82.27,0,0.01,2155.361,0,0
Nb3I8,0,-0.537,11,1293.955,-48.711,0,0.01,1739.578,0.207,0.193
Ta4Se12,2.963,-0.68,16,1671.444,-91.935,0,0.009,1591.172,0,0.005
W2N3,2.065,-0.194,5,409.701,-48.996,0.001,0.001,259.797,0,0
As2O6Sb2,0,-1.301,10,489.357,-61.894,0,0.01,894.984,4.068,3.974
Cr2Ge2Te6,0,-0.184,10,1014.852,-48.919,0,0.004,1378.317,0.379,0.125
Ga2Cl2Te2,0,-0.73,6,465.546,-20.167,0,0.007,870.034,2.316,2.163
Hg4Mo2O8,0,-1.311,14,1122.26,-85.291,0,0.005,1379.803,2.304,2.278
K2Cl2O6,0,-0.727,10,245.091,-44.023,0,0.01,881.992,5.443,5.441
Mg2P2Se6,0,-0.616,10,584.384,-41.017,0,0.008,1206.298,2.061,2.049
Mo2Ta2O11,0,-2.471,15,729.785,-135.465,0,0.005,1108.907,2.713,2.566
