Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
CoLiP2S6,0,-0.457,10,320.181,-49.883,0,0.008,980.789,1.061,1.02
CuVP2S6,0,-0.391,10,368.795,-51.311,0,0.009,1039.412,0.307,0.306
GaNaP2Se6,0,-0.381,10,628.486,-39.65,0,0.009,1373.672,1.661,1.612
HO6SbTe2,0,-1.116,10,473.962,-56.041,0,0.01,759.576,2.905,2.798
InNaAs2S6,0,-0.346,10,480.011,-41.329,0,0.008,1417.741,1.928,1.914
Al2Ga2S6,0,-0.874,10,385.769,-46.488,0,0.01,803.791,2.845,2.835
Bi2As2O6,0,-1.266,10,663.798,-62.079,0,0.009,845.07,3.64,2.835
Fe3GaTe2,2.583,-0.15,6,492.458,-37.337,0.001,0.003,290.955,0,0
As2S6Si2,0,-0.408,10,398.373,-48.671,0,0.01,749.762,2.19,2.181
Sc2Sb2Se6,0,-0.897,10,807.258,-48.002,0,0.009,751.571,1.21,1.115
Co2O6Sb2,0,-1.179,10,457.38,-67.807,0,0.006,387.003,0.939,0.932
Mn2Ta2Se6,3.633,-0.621,10,945.598,-66.178,0,0.009,1144.444,0,0
Li6H2O8S2,0,-1.741,18,235.768,-98.476,0,0.009,1159.099,4.475,4.475
Hf2Sn2S8,0,-0.919,12,850.88,-66.779,0,0.005,1480.586,1.197,1.183
Mo2W2O8,0,-2.01,12,687.572,-110.488,0,0.004,502.825,1.098,1.083
V2W2S8,5.259,-0.862,12,726.043,-82.992,0,0.009,639.577,0,0
Nb2Pd2Se10,3.061,-0.537,14,1188.363,-70.632,0,0.006,1736.102,0,0
Pt2Ta2S10,3.133,-0.615,14,1072.664,-81.733,0,0.008,1593.03,0,0
HfPdBr6,0,-0.988,8,764.334,-28.739,0,0.002,705.544,0.651,0.642
Li2Nb2F12,0,-3.285,16,427.674,-96.038,0.003,0.007,923.349,5.463,5.441
NiZrF6,0,-3.039,8,263.908,-48.48,0.003,0.009,460.164,1.936,1.9
Ag2Cd2Cl2Se2,0,-0.532,8,669.406,-22.325,0,0.01,1280.933,1.051,1.043
Ag2Hg2Cl2S2,0,-0.328,8,751.94,-21.799,0,0.008,1244.132,1.409,1.388
Au4Br4H4O4,0.948,-0.427,16,1175.51,-59.485,0,0.008,1203.001,0,0.072
Au2Cd2I2Te2,0,-0.295,8,1127.77,-19.843,0,0.006,1428.16,0.9,0.824
Au4H4I4O4,1.184,-0.407,16,1363.512,-58.74,0,0.009,1250.968,0,0.021
K2C2N2S2,0,-0.415,8,194.353,-49.055,0,0.006,969.264,4.19,4.188
Cu4Cl4H4S4,4.433,-0.32,16,528.256,-56.568,0,0.007,1715.284,0,0
Bi2Cd2Br2O4,0,-1.111,10,866.593,-45.977,0,0.008,1177.697,2.809,2.445
Cd2F2O4Sb2,0,-1.517,10,570.341,-49.512,0,0.006,1119.372,2.461,2.459
Co4Ta2S2Te2,4.196,-0.536,10,916.949,-72.477,0,0.009,760.779,0,0
Pb2As2F2O6,0,-1.526,12,698.234,-69.075,0,0.007,999.911,3.579,3.334
Na2C2H2O6,0,-1.519,12,168.012,-76.671,0,0.01,661.509,4.539,4.539
Pb2Cl2O6P2,0,-1.729,12,643.242,-73.31,0,0.009,1003.243,4.289,3.727
Cs2Os2F10N2O2,0,-1.975,18,896.267,-102.412,0.002,0.009,1262.34,0.976,0.929
Cr2Br2O2,0,-1.438,6,295.798,-40.86,0,0.007,456.529,0.505,0.501
Ag4Cl8,0,-0.284,12,715.073,-29.047,0,0.007,1124.238,0.28,0.255
Mn4Se6,3.675,-0.397,10,693.578,-63.738,0,0.004,488.358,0,0
Cu3Se2,1.955,-0.113,5,348.58,-18.56,0.001,0.006,266.02,0,0
Y4S6,0,-2.065,10,547.983,-63.885,0,0.009,588.688,2.577,2.574
P2Se5,0,0.04,7,456.803,-27.861,0,0.008,649.894,1.17,1.156
Ca2Cl4,0,-2.369,6,221.956,-25.376,0.001,0.009,512.758,5.411,5.406
As8Si6,0,-0.032,14,767.883,-70.146,0,0.007,1073.59,1.479,1.472
Ag6Cl6,0,-0.42,12,859.909,-32.79,0,0.01,1204.934,2.421,2.398
AsSb,0,0.039,2,196.682,-8.991,0,0.007,212.945,1.484,1.262
Be4Se4,0,-0.709,8,351.933,-34.408,0,0.002,469.481,3.055,2.905
Rb6Cl6,0,-1.925,12,725.507,-39.263,0,0.008,949.539,4.738,4.691
In4F4,0,-1.726,8,535.266,-31.205,0.002,0.008,480.297,0.06,0.068
Hg3Te3,0,-0.13,6,984.576,-13.049,0,0.009,614.354,0.757,0.672
Na2I2,0,-1.212,4,299.788,-10.418,0,0.009,563.215,4.202,3.961
Ni4Se4,5.184,-0.198,8,550.658,-44.508,0,0.007,449.217,0,0
Cr3Se6,0,-0.432,9,629.814,-53.011,0,0.004,496.393,0.491,0.478
